id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo,data,hora,ano,mes,dia_semana_nome,gravidade
519172.0,2023-04-25,,08:00:00,RJ,101,315,SAO GONCALO,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,TOMBAMENTO,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,CÉU CLARO,DUPLA,Reta,Não,1,0,1,0,0,0,1,1,-22.82262092,-43.08460805,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,8,,,,1.0
519308.0,2023-04-26,,13:20:00,RJ,101,324,NITEROI,MAL SÚBITO DO CONDUTOR,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CÉU CLARO,DUPLA,Reta,Não,4,0,1,0,3,0,1,4,-22.87381074,-43.12640997,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,,13,,,,1.0
519420.0,2023-04-26,,19:20:00,RJ,101,313,SAO GONCALO,AVARIAS E/OU DESGASTE EXCESSIVO NO PNEU,TOMBAMENTO,COM VÍTIMAS FERIDAS,PLENA NOITE,Decrescente,NUBLADO,DUPLA,Reta,Sim,2,0,2,0,0,0,2,1,-22.81049093,-43.06983304,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,19,,,,1.0
519422.0,2023-03-31,,09:40:00,RJ,101,321,NITEROI,CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,SOL,DUPLA,Curva,Não,2,0,1,0,1,0,1,2,-22.86981096,-43.11046465,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,,9,,,,1.0
520370.0,2023-05-01,3.0,12:10:00,RJ,101,261,RIO BONITO,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO COM OBJETO,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,SOL,MÚLTIPLA,Reta,Sim,6,0,1,1,4,0,2,1,-22.71139378,-42.61157199,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2023,2023-01-05,12,2023.0,1.0,Quinta,1.0
520467.0,2023-05-01,3.0,18:50:00,RJ,101,327,NITEROI,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENA NOITE,Decrescente,CÉU CLARO,DUPLA,Reta;Aclive,Sim,2,0,1,0,1,0,1,2,-22.87117393,-43.15595099,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,2023-01-05,18,2023.0,1.0,Quinta,1.0
520758.0,2023-05-03,6.0,09:00:00,RJ,101,"308,3",SAO GONCALO,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,TOMBAMENTO,SEM VÍTIMAS,PLENO DIA,Decrescente,CÉU CLARO,DUPLA,Reta,Sim,2,0,0,0,2,0,0,2,-22.793814,-43.027974,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,2023-03-05,9,2023.0,3.0,Domingo,0.0
520774.0,2023-05-03,6.0,11:10:00,RJ,101,303,SAO GONCALO,CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CÉU CLARO,DUPLA,Reta,Não,2,0,1,0,1,0,1,2,-22.75930594,-42.94761658,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,2023-03-05,11,2023.0,3.0,Domingo,1.0
520827.0,2023-03-05,2.0,03:50:00,RJ,101,323,NITEROI,AUSÊNCIA DE REAÇÃO DO CONDUTOR,ATROPELAMENTO DE PEDESTRE,COM VÍTIMAS FATAIS,PLENA NOITE,Crescente,CÉU CLARO,MÚLTIPLA,Reta,Não,5,1,1,0,3,0,1,3,-22.87684786,-43.11728689,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,2023-05-03,3,2023.0,5.0,Quarta,2.0
520871.0,2023-05-03,6.0,18:20:00,RJ,101,322,NITEROI,PEDESTRE CRUZAVA A PISTA FORA DA FAIXA,ATROPELAMENTO DE PEDESTRE,COM VÍTIMAS FERIDAS,ANOITECER,Crescente,CÉU CLARO,DUPLA,Reta;Aclive,Não,2,0,1,1,0,0,2,2,-22.878923,-43.110676,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,2023-03-05,18,2023.0,3.0,Domingo,1.0
